Date_Time,League,Home_Team,Score,Away_Team,Home_Score,Away_Score,Home_Dummy_Score,Away_Dummy_Score
Su 31Aug 2003,Premiership,Man City,1-2,Arsenal,1,2,0,1
Sa 22Feb 2003,Premiership,Man City,1-5,Arsenal,1,5,0,1
Tu 10Sep 2002,Premiership,Arsenal,2-1,Man City,2,1,1,0
We 11Apr 2001,Premiership,Man City,0-4,Arsenal,0,4,0,1
Sa 28Oct 2000,Premiership,Arsenal,5-0,Man City,5,0,1,0
Tu 05Mar 1996,Premiership,Arsenal,3-1,Man City,3,1,1,0
Su 10Sep 1995,Premiership,Man City,0-1,Arsenal,0,1,0,1
Mo 12Dec 1994,Premiership,Man City,1-2,Arsenal,1,2,0,1
Sa 20Aug 1994,Premiership,Arsenal,3-0,Man City,3,0,1,0
Sa 15Jan 1994,Premiership,Man City,0-0,Arsenal,0,0,1,1
Sa 16Oct 1993,Premiership,Arsenal,0-0,Man City,0,0,1,1
Sa 16Jan 1993,Premiership,Man City,0-1,Arsenal,0,1,0,1
Mo 28Sep 1992,Premiership,Arsenal,1-0,Man City,1,0,1,0
Sa 28Dec 1991,English Div 1 (old),Man City,1-0,Arsenal,1,0,1,0
Sa 31Aug 1991,English Div 1 (old),Arsenal,2-1,Man City,2,1,1,0
We 17Apr 1991,English Div 1 (old),Arsenal,2-2,Man City,2,2,1,1
Tu 01Jan 1991,English Div 1 (old),Man City,0-1,Arsenal,0,1,0,1
Tu 30Oct 1990,English League Cup,Man City,1-2,Arsenal,1,2,0,1
Sa 10Mar 1990,English Div 1 (old),Man City,1-1,Arsenal,1,1,1,1
Sa 14Oct 1989,English Div 1 (old),Arsenal,4-0,Man City,4,0,1,0
Sa 25Apr 1987,English Div 1 (old),Man City,3-0,Arsenal,3,0,1,0
Sa 22Nov 1986,English Div 1 (old),Arsenal,3-0,Man City,3,0,1,0
Tu 28Oct 1986,English League Cup,Arsenal,3-1,Man City,3,1,1,0
Sa 05Apr 1986,English Div 1 (old),Man City,0-1,Arsenal,0,1,0,1
Sa 02Nov 1985,English Div 1 (old),Arsenal,1-0,Man City,1,0,1,0
We 30Oct 1985,English League Cup,Man City,1-2,Arsenal,1,2,0,1
Sa 23Apr 1983,English Div 1 (old),Arsenal,3-0,Man City,3,0,1,0
Sa 04Dec 1982,English Div 1 (old),Man City,2-1,Arsenal,2,1,1,0
Sa 06Mar 1982,English Div 1 (old),Man City,0-0,Arsenal,0,0,1,1
Sa 17Oct 1981,English Div 1 (old),Arsenal,1-0,Man City,1,0,1,0
Tu 24Feb 1981,English Div 1 (old),Arsenal,2-0,Man City,2,0,1,0
Sa 06Sep 1980,English Div 1 (old),Man City,1-1,Arsenal,1,1,1,1
Sa 15Mar 1980,English Div 1 (old),Man City,0-3,Arsenal,0,3,0,1
Sa 06Oct 1979,English Div 1 (old),Arsenal,0-0,Man City,0,0,1,1
Sa 24Mar 1979,English Div 1 (old),Arsenal,1-1,Man City,1,1,1,1
Tu 22Aug 1978,English Div 1 (old),Man City,1-1,Arsenal,1,1,1,1
Sa 04Mar 1978,English Div 1 (old),Arsenal,3-0,Man City,3,0,1,0
Mo 30Jan 1978,English League Cup,Man City,0-0,Arsenal,0,0,1,1
Mo 30Jan 1978,English League Cup,Arsenal,1-0,Man City,1,0,1,0
Sa 08Oct 1977,English Div 1 (old),Man City,2-1,Arsenal,2,1,1,0
Sa 12Feb 1977,English Div 1 (old),Man City,1-0,Arsenal,1,0,1,0
Sa 04Sep 1976,English Div 1 (old),Arsenal,0-0,Man City,0,0,1,1
Sa 24Apr 1976,English Div 1 (old),Man City,3-1,Arsenal,3,1,1,0
Sa 04Oct 1975,English Div 1 (old),Arsenal,2-3,Man City,2,3,0,1
We 16Oct 1974,English Div 1 (old),Man City,2-1,Arsenal,2,1,1,0
Sa 24Aug 1974,English Div 1 (old),Arsenal,4-0,Man City,4,0,1,0
Sa 23Mar 1974,English Div 1 (old),Arsenal,2-0,Man City,2,0,1,0
Sa 10Nov 1973,English Div 1 (old),Man City,1-2,Arsenal,1,2,0,1
Sa 24Mar 1973,English Div 1 (old),Man City,1-2,Arsenal,1,2,0,1
Sa 28Oct 1972,English Div 1 (old),Arsenal,0-0,Man City,0,0,1,1
Sa 04Mar 1972,English Div 1 (old),Man City,2-0,Arsenal,2,0,1,0
Sa 13Nov 1971,English Div 1 (old),Arsenal,1-2,Man City,1,2,0,1
